iter	Passed	Remaining
933	1771	125
934	1773	123
935	1775	121
936	1777	119
937	1779	117
938	1781	115
939	1782	113
940	1785	111
941	1786	110
942	1788	108
943	1790	106
944	1791	104
945	1794	102
946	1795	100
947	1797	98
948	1799	96
949	1800	94
950	1802	92
951	1804	90
952	1806	89
953	1808	87
954	1810	85
955	1812	83
956	1814	81
957	1815	79
958	1817	77
959	1819	75
960	1820	73
961	1822	71
962	1824	70
963	1825	68
964	1827	66
965	1828	64
966	1830	62
967	1832	60
968	1833	58
969	1835	56
970	1837	54
971	1839	52
972	1841	51
973	1843	49
974	1845	47
975	1847	45
976	1848	43
977	1850	41
978	1852	39
979	1854	37
980	1856	35
981	1857	34
982	1859	32
983	1861	30
984	1862	28
985	1864	26
986	1866	24
987	1868	22
988	1870	20
989	1871	18
990	1873	17
991	1875	15
992	1877	13
993	1880	11
994	1881	9
995	1883	7
996	1885	5
997	1887	3
998	1889	1
999	1891	0
